[Run 002] Epoch 029, Avg Reward: -3.56
[Run 002] Epoch 030, Avg Reward: -3.59
[Run 002] Epoch 031, Avg Reward: -3.49
[Run 002] Epoch 032, Avg Reward: -3.40
[Run 002] Epoch 033, Avg Reward: -3.44
[Run 002] Epoch 034, Avg Reward: -3.24
[Run 002] Epoch 035, Avg Reward: -3.09
[Run 002] Epoch 036, Avg Reward: -3.15
[Run 002] Epoch 037, Avg Reward: -2.93
[Run 002] Epoch 038, Avg Reward: -2.61
[Run 002] Epoch 039, Avg Reward: -2.45
[Run 002] Epoch 040, Avg Reward: -2.02
[Run 002] Epoch 041, Avg Reward: -1.98
[Run 002] Epoch 042, Avg Reward: -1.65
[Run 002] Epoch 043, Avg Reward: -1.95
[Run 002] Epoch 044, Avg Reward: -2.16
[Run 002] Epoch 045, Avg Reward: -1.50
[Run 002] Epoch 046, Avg Reward: -1.54
[Run 002] Epoch 047, Avg Reward: -1.76
[Run 002] Epoch 048, Avg Reward: -1.48
[Run 002] Epoch 049, Avg Reward: -1.95
[Run 002] Epoch 050, Avg Reward: -1.34
[Run 002] Epoch 051, Avg Reward: -1.44
[Run 002] Epoch 052, Avg Reward: -1.60
[Run 002] Epoch 053, Avg Reward: -1.63
[Run 002] Epoch 054, Avg Reward: -1.56
[Run 002] Epoch 055, Avg Reward: -1.33
[Run 002] Epoch 056, Avg Reward: -1.18
[Run 002] Epoch 057, Avg Reward: -0.99
[Run 002] Epoch 058, Avg Reward: -1.39
[Run 002] Epoch 059, Avg Reward: -1.22
[Run 002] Epoch 060, Avg Reward: -1.18
[Run 002] Epoch 061, Avg Reward: -1.02
[Run 002] Epoch 062, Avg Reward: -1.38
[Run 002] Epoch 063, Avg Reward: -0.86
[Run 002] Epoch 064, Avg Reward: -1.55
[Run 002] Epoch 065, Avg Reward: -1.62
[Run 002] Epoch 066, Avg Reward: -0.95
[Run 002] Epoch 067, Avg Reward: -1.77
[Run 002] Epoch 068, Avg Reward: -1.52
[Run 002] Epoch 069, Avg Reward: -1.15
[Run 002] Epoch 070, Avg Reward: -1.61
[Run 002] Epoch 071, Avg Reward: -1.25
[Run 002] Epoch 072, Avg Reward: -1.68
[Run 002] Epoch 073, Avg Reward: -1.23
[Run 002] Epoch 074, Avg Reward: -1.08
[Run 002] Epoch 075, Avg Reward: -1.15
[Run 002] Epoch 076, Avg Reward: -1.10
[Run 002] Epoch 077, Avg Reward: -1.23
[Run 002] Epoch 078, Avg Reward: -1.14
[Run 002] Epoch 079, Avg Reward: -1.07
[Run 002] Epoch 080, Avg Reward: -1.54
[Run 002] Epoch 081, Avg Reward: -1.15
[Run 002] Epoch 082, Avg Reward: -1.39
[Run 002] Epoch 083, Avg Reward: -1.07
[Run 002] Epoch 084, Avg Reward: -1.02
[Run 002] Epoch 085, Avg Reward: -1.05
[Run 002] Epoch 086, Avg Reward: -1.36
[Run 002] Epoch 087, Avg Reward: -1.91
[Run 002] Epoch 088, Avg Reward: -2.47
[Run 002] Epoch 089, Avg Reward: -1.35
[Run 002] Epoch 090, Avg Reward: -1.93
[Run 002] Epoch 091, Avg Reward: -2.33
[Run 002] Epoch 092, Avg Reward: -1.60
[Run 002] Epoch 093, Avg Reward: -1.13
[Run 002] Epoch 094, Avg Reward: -1.88
[Run 002] Epoch 095, Avg Reward: -1.44
[Run 002] Epoch 096, Avg Reward: -1.62
[Run 002] Epoch 097, Avg Reward: -1.51
[Run 002] Epoch 098, Avg Reward: -1.13
[Run 002] Epoch 099, Avg Reward: -0.94
[Run 002] Epoch 100, Avg Reward: -1.06
[Run 003] Epoch 001, Avg Reward: -6.40
[Run 003] Epoch 002, Avg Reward: -5.51
[Run 003] Epoch 003, Avg Reward: -5.47
[Run 003] Epoch 004, Avg Reward: -5.47
[Run 003] Epoch 005, Avg Reward: -5.74
[Run 003] Epoch 006, Avg Reward: -5.33
[Run 003] Epoch 007, Avg Reward: -5.10
[Run 003] Epoch 008, Avg Reward: -5.63
[Run 003] Epoch 009, Avg Reward: -4.95
[Run 003] Epoch 010, Avg Reward: -5.26
[Run 003] Epoch 011, Avg Reward: -5.23
[Run 003] Epoch 012, Avg Reward: -5.08
[Run 003] Epoch 013, Avg Reward: -4.81
[Run 003] Epoch 014, Avg Reward: -5.17
[Run 003] Epoch 015, Avg Reward: -4.73
[Run 003] Epoch 016, Avg Reward: -4.55
[Run 003] Epoch 017, Avg Reward: -4.96
[Run 003] Epoch 018, Avg Reward: -4.51
[Run 003] Epoch 019, Avg Reward: -4.59
[Run 003] Epoch 020, Avg Reward: -4.41
[Run 003] Epoch 021, Avg Reward: -4.37
[Run 003] Epoch 022, Avg Reward: -4.20
[Run 003] Epoch 023, Avg Reward: -4.04
[Run 003] Epoch 024, Avg Reward: -4.53
[Run 003] Epoch 025, Avg Reward: -4.23
[Run 003] Epoch 026, Avg Reward: -3.91
[Run 003] Epoch 027, Avg Reward: -4.23
[Run 003] Epoch 028, Avg Reward: -3.94
[Run 003] Epoch 029, Avg Reward: -3.77
[Run 003] Epoch 030, Avg Reward: -3.85
[Run 003] Epoch 031, Avg Reward: -3.73
[Run 003] Epoch 032, Avg Reward: -3.64
[Run 003] Epoch 033, Avg Reward: -3.43
[Run 003] Epoch 034, Avg Reward: -3.51
[Run 003] Epoch 035, Avg Reward: -3.34
[Run 003] Epoch 036, Avg Reward: -3.28
[Run 003] Epoch 037, Avg Reward: -3.13
[Run 003] Epoch 038, Avg Reward: -3.28
[Run 003] Epoch 039, Avg Reward: -3.41
[Run 003] Epoch 040, Avg Reward: -3.46
[Run 003] Epoch 041, Avg Reward: -3.28
[Run 003] Epoch 042, Avg Reward: -2.88
[Run 003] Epoch 043, Avg Reward: -3.06
[Run 003] Epoch 044, Avg Reward: -2.90
[Run 003] Epoch 045, Avg Reward: -2.94
[Run 003] Epoch 046, Avg Reward: -2.95
[Run 003] Epoch 047, Avg Reward: -2.87
[Run 003] Epoch 048, Avg Reward: -2.86
[Run 003] Epoch 049, Avg Reward: -2.83
[Run 003] Epoch 050, Avg Reward: -2.69
[Run 003] Epoch 051, Avg Reward: -3.06
[Run 003] Epoch 052, Avg Reward: -2.35
[Run 003] Epoch 053, Avg Reward: -2.20
[Run 003] Epoch 054, Avg Reward: -1.86
[Run 003] Epoch 055, Avg Reward: -1.95
[Run 003] Epoch 056, Avg Reward: -1.70
[Run 003] Epoch 057, Avg Reward: -1.77
[Run 003] Epoch 058, Avg Reward: -1.45
[Run 003] Epoch 059, Avg Reward: -1.19
[Run 003] Epoch 060, Avg Reward: -1.79
[Run 003] Epoch 061, Avg Reward: -1.39
[Run 003] Epoch 062, Avg Reward: -1.19
[Run 003] Epoch 063, Avg Reward: -1.30
[Run 003] Epoch 064, Avg Reward: -1.31
[Run 003] Epoch 065, Avg Reward: -1.64
[Run 003] Epoch 066, Avg Reward: -0.95
[Run 003] Epoch 067, Avg Reward: -1.80
[Run 003] Epoch 068, Avg Reward: -1.31
[Run 003] Epoch 069, Avg Reward: -1.76
[Run 003] Epoch 070, Avg Reward: -1.94
[Run 003] Epoch 071, Avg Reward: -1.96
[Run 003] Epoch 072, Avg Reward: -2.06
[Run 003] Epoch 073, Avg Reward: -1.64
[Run 003] Epoch 074, Avg Reward: -1.31
[Run 003] Epoch 075, Avg Reward: -1.57
[Run 003] Epoch 076, Avg Reward: -1.58
[Run 003] Epoch 077, Avg Reward: -1.17
[Run 003] Epoch 078, Avg Reward: -1.31
[Run 003] Epoch 079, Avg Reward: -1.27
[Run 003] Epoch 080, Avg Reward: -1.58
[Run 003] Epoch 081, Avg Reward: -1.76
[Run 003] Epoch 082, Avg Reward: -2.00
